Titre,Statut,Assigné à,Progression,Catégorie,Domaine,Priorité,Notes
🔐 Authentification e-mail + mot de passe,✅ Fait,,100,🏗️ Fondations,🔀 Full-stack,,"Better Auth, réinitialisation, limitation de débit"
🧭 Onboarding (choix du rôle),✅ Fait,,100,🏗️ Fondations,🔀 Full-stack,,"Rôle non modifiable ensuite"
🗄️ Modèle de données Prisma,✅ Fait,,100,🏗️ Fondations,⚙️ Back,,"Profils, instruments, disponibilités, réservations, avis"
🕒 Moteur de disponibilités,✅ Fait,,100,🏗️ Fondations,⚙️ Back,,"Règles + exceptions, juste au changement d'heure"
🔄 Cycle de vie des réservations,✅ Fait,,100,🏗️ Fondations,⚙️ Back,,"Machine à états + contrainte anti-double-réservation"
🗃️ Stockage de fichiers (Scaleway),✅ Fait,,100,🏗️ Fondations,☁️ Infra,,"Object Storage S3-compatible, région fr-par (RGPD) ; bucket public (photos) + bucket privé (partitions/audio/comptes rendus) avec URLs signées. Vérifié de bout en bout (upload, EXIF retiré, suppression)"
🔗 Relation prof ↔ élève,✅ Fait,,100,🏗️ Fondations,⚙️ Back,,"Fil persistant indépendant d'un cours (modèle Message) + note privée (TeacherStudentNote). Socle des fiches élèves"
🏠 Page d'accueil éditoriale,✅ Fait,,100,🌍 Public,🎨 Front,,"Portée gravée animée, direction artistique"
🔎 Recherche /profs,✅ Fait,,100,🌍 Public,🔀 Full-stack,,"Filtres dans l'URL, classement bayésien, indexable"
👤 Fiche prof publique,✅ Fait,,100,🌍 Public,🔀 Full-stack,,"SEO, JSON-LD, créneaux groupés matin/après-midi/soir"
📆 Widget de réservation,✅ Fait,,100,🌍 Public,🔀 Full-stack,,"Créneaux réels, demande en quelques clics"
🎂 Âge sur les profils,✅ Fait,,100,🌍 Public,🔀 Full-stack,,"Prof : âge optionnel sur la fiche publique (opt-in explicite). Élève : âge affiché sur la fiche"
🪪 Ma fiche,✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"Présentation, instruments, tarif, règles, publier"
🗓️ Disponibilités,✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"Semaine type + congés"
📥 Demandes de cours,✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"Boîte de réception : confirmer / refuser / clôturer ; profil complet de l'élève en un clic"
🖼️ Photo de profil,✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"Sur User (identité partagée), photo prof publique. Traitée par sharp (redim/WebP/EXIF retiré). Photo côté élève : plus tard"
