Titre,Type,Domaine,Date,Heure,Commit
Initial commit,🌱 Init,🛠️ Infra,2026-07-22,15:57,78b592f
Rewrite CLAUDE.md and track .env.example,📝 Docs,🛠️ Infra,2026-07-22,16:06,e1be90e
Remove peer dependency flag from use-sync-external-store in package-lock.json,🔧 Config,🛠️ Infra,2026-07-22,16:07,ae84558
"Modèle de domaine Noteva (profs, dispos, réservations)",✨ Fonctionnalité,🏗️ Fondations,2026-07-22,17:29,8cb4230
"Moteur de créneaux pur, testé sur les transitions DST",✨ Fonctionnalité,🏗️ Fondations,2026-07-22,17:53,6e5dfba
Seed des instruments et route publique de disponibilités,✨ Fonctionnalité,🛠️ Infra,2026-07-22,18:11,ff7fa43
"Création de réservations, et correctif du montage Better Auth",✨ Fonctionnalité,🛠️ Infra,2026-07-22,18:28,0c481f2
Cycle de vie des réservations et liste des cours,✨ Fonctionnalité,🛠️ Infra,2026-07-22,19:43,8500ae1
Choix du rôle après inscription,✨ Fonctionnalité,🏗️ Fondations,2026-07-22,20:40,537e874
"Espace prof, fiche et disponibilités",✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-22,20:55,428896e
Boîte de réception des demandes,✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-22,21:08,0936e99
Fiche prof publique et réservation depuis la page,✨ Fonctionnalité,🌍 Public,2026-07-22,21:19,c5a7684
Recherche et listing des profs,✨ Fonctionnalité,🌍 Public,2026-07-22,21:32,cc1fabf
Écran « mes cours »,✨ Fonctionnalité,🎒 Espace élève,2026-07-22,21:47,e395145
Abonnement prof de bout en bout,✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-22,22:38,fbba5a0
"Page d'accueil, connexion dédiée et navigation",✨ Fonctionnalité,🌍 Public,2026-07-22,22:54,6eb0ab9
E-mails sur le cycle de vie des réservations,✨ Fonctionnalité,🔔 Notifications,2026-07-23,01:53,9c13706
Profil élève et transmission au prof,✨ Fonctionnalité,🎒 Espace élève,2026-07-23,02:03,acf02c8
Mot de passe oublié,✨ Fonctionnalité,🏗️ Fondations,2026-07-23,02:18,6794d99
Refonte graphique — système de jetons « encre & accent vif »,✨ Fonctionnalité,🖌️ Design,2026-07-23,03:06,aba5f49
Supprime le motif de classe qui cassait la compilation CSS,🐛 Correctif,🖌️ Design,2026-07-23,03:13,3d9c05b
Thème clair uniquement,✨ Fonctionnalité,🖌️ Design,2026-07-23,03:20,ca1e725
"Lit STRIPE_SECRET_KEY, la variable qui existe réellement",🐛 Correctif,🧑‍🏫 Espace prof,2026-07-23,09:54,b7746c9
"Stripe vérifié contre de vrais événements, plus des charges fabriquées",📝 Docs,🧑‍🏫 Espace prof,2026-07-23,10:05,fc105a0
"Notation des cours, affichage public et droit de réponse",✨ Fonctionnalité,🛡️ Modération,2026-07-23,10:22,9838082
E-mail aux deux parties 24 h avant le cours,✨ Fonctionnalité,🔔 Notifications,2026-07-23,10:32,53410d1
"L'espace connecté a une identité, et dit où l'on est",🐛 Correctif,🖌️ Design,2026-07-23,10:52,2223dad
Les états vides disent la cause et la suite,🐛 Correctif,🖌️ Design,2026-07-23,11:18,097f572
"Les erreurs disent ce qui s'est passé, et ne coûtent pas la saisie",🐛 Correctif,🖌️ Design,2026-07-23,13:05,3b45437
"Sslmode=verify-full explicite, pour taire l'avertissement pg",📝 Docs,🏗️ Fondations,2026-07-23,13:15,14b8ac1
"Pas de grille réglable par prof, séparé de la durée du cours",✨ Fonctionnalité,🏗️ Fondations,2026-07-23,13:41,e0684a4
"Grille ancrée sur les ouvertures, et vérifiée à la réservation",🐛 Correctif,🏗️ Fondations,2026-07-23,13:59,6eff8d5
"Bornes visibles, erreurs qui nomment le champ, aperçu des départs",🐛 Correctif,🧑‍🏫 Espace prof,2026-07-23,16:34,1e3e248
Les écrans d'authentification ne restent plus muets,🐛 Correctif,🏗️ Fondations,2026-07-23,16:47,04b75c8
"Classement par note, tempéré par une moyenne bayésienne",✨ Fonctionnalité,🌍 Public,2026-07-23,16:56,e5293d4
"Modération a posteriori, et première zone d'administration",✨ Fonctionnalité,🛡️ Modération,2026-07-23,17:07,bb3a58e
"En-têtes durcis, routes qui échouent fermées, limites d'auth",✨ Fonctionnalité,🛠️ Infra,2026-07-23,20:56,2d24cac
"Signalement par le prof, et file de modération priorisée",✨ Fonctionnalité,🛡️ Modération,2026-07-24,03:45,faaf310
"La semaine du prof, ouvertures et cours sur une même grille",✨ Fonctionnalité,📅 Agenda,2026-07-26,12:05,469f743
"Sur colonne étroite, le nom de l'élève passe avant l'heure",🐛 Correctif,📅 Agenda,2026-07-26,12:13,e8a32b8
"Les neutres à la grille, les teintes aux cours",🐛 Correctif,📅 Agenda,2026-07-26,12:54,5e34ffd
